employee_id,employee_name,department,working_hours_per_day,sleep_hours,stress_level,meetings_per_day,work_mode,productivity_score,salary,leaves_taken,burnout_risk
EMP1584,Albert Lopez,Marketing,5.2,5.6,10,4,Onsite,56,249127.0,17,Medium
EMP2215,Nicole Young,Sales,12.0,4.8,8,1,Hybrid,73,116462.0,22,High
EMP1877,Angela Edwards,Sales,9.3,4.9,6,2,Onsite,92,140851.0,28,Medium
EMP5230,Heidi Padilla,it,8.5,5.4,9,2,Remote,46,226467.0,22,Low
EMP5159,Charles Porter,HR,8.8,4.1,8,6,Hybrid,74,134054.0,2,Low
EMP5546,Gabrielle Gilbert,IT,7.1,6.4,9,1,Remote,81,147513.0,1,Low
EMP3787,George Munoz,Support,12.1,7.8,7,4,Onsite,70,170752.0,13,High
EMP2744,,Operations,12.1,8.0,4,5,Remote,93,105172.0,3,High
EMP5481,Joseph Bailey,Finance,5.1,7.5,8,6,Remote,65,90133.0,23,High
EMP4801,Casey Wilson,Marketing,11.9,8.7,3,1,Remote,55,44702.0,29,Low
EMP5666,Robert Scott DDS,IT,4.1,4.7,10,4,Remote,71,224180.0,2,Medium
EMP3373,Barbara Huff,Support,5.2,4.0,4,8,Hybrid,56,84980.0,23,Medium
EMP3468,,HR,5.4,5.3,5,1,Onsite,69,165833.0,8,Low
EMP5847,Charlotte Trujillo,Operations,14.4,7.3,7,8,Remote,92,213118.0,19,Medium
EMP5536,David Ball,IT,14.5,4.4,10,3,Remote,41,225140.0,22,High
EMP5525,Kevin Conley,Marketing,9.8,3.2,5,2,Onsite,65,204150.0,8,High
EMP1561,Justin Carey,Operations,9.2,7.7,6,6,Hybrid,54,227413.0,18,Low
EMP3771,Alan Miller,Operations,10.5,7.7,4,6,Remote,97,235393.0,13,Low
EMP1952,April Stewart,IT,6.0,4.0,8,5,Hybrid,96,147705.0,4,High
EMP1915,,Sales,6.2,5.4,10,8,Remote,69,201045.0,24,Low
EMP4135,Jane Howard,HR,6.9,7.6,10,9,Remote,70,102622.0,0,Low
EMP4699,Caleb Sanchez,HR,10.1,8.2,8,7,Remote,61,108892.0,17,Low
EMP5523,Wesley Stephenson,IT,13.5,4.6,5,11,Hybrid,77,208727.0,10,Medium
EMP4928,Nicole Rodriguez,IT,8.1,4.0,10,1,Remote,70,228464.0,21,High
EMP3347,Amanda Cooper,HR,8.4,3.4,8,11,Onsite,44,227479.0,16,Medium
EMP3330,Tyler Black,IT,10.4,9.0,8,10,Onsite,80,38113.0,8,Medium
EMP2957,Jennifer Henderson,Finance,7.1,4.4,4,9,Onsite,78,174583.0,24,Medium
EMP5731,Brett Wright,Support,9.7,5.8,6,1,Onsite,69,119575.0,14,Low
EMP1279,Michael Campos,Finance,11.7,6.2,1,1,Hybrid,99,148750.0,1,Low
EMP4834,Renee Stewart,Finance,4.6,7.6,5,10,Remote,43,51281.0,21,Medium
EMP4921,Rodney Morton,IT,11.0,7.9,10,4,Hybrid,72,91145.0,16,Low
EMP1132,Hector Montgomery,IT,11.0,6.7,3,10,Hybrid,46,189484.0,20,Medium
EMP1555,Cory Gilmore,Sales,9.0,6.7,5,11,Hybrid,77,64949.0,18,Medium
EMP1426,Brian Watson,Operations,12.7,4.3,10,2,Hybrid,64,105431.0,23,Low
EMP2946,Martin Horn,Finance,6.1,8.8,4,5,Hybrid,73,202235.0,13,High
EMP5487,Chad Lloyd,Support,5.0,8.6,5,6,Onsite,92,184871.0,6,High
EMP2741,Thomas Morris,Finance,7.8,8.8,4,4,Hybrid,68,230444.0,1,High
EMP2720,Adriana Smith,HR,11.5,6.8,10,3,Onsite,93,221897.0,22,High
EMP1151,Joseph Thompson,Marketing,7.3,6.9,1,0,Onsite,70,247114.0,12,Low
EMP2643,Tamara Patel,Finance,6.5,8.1,10,4,Hybrid,49,178153.0,0,High
EMP2029,Jennifer Sellers,Sales,4.3,6.8,5,8,Remote,81,57448.0,20,Low
EMP4063,Randy Williams,HR,14.5,3.3,9,10,Onsite,97,202972.0,24,Low
EMP5100,Chad Thompson,Sales,13.7,7.6,2,3,Remote,57,26119.0,3,High
EMP5903,Justin Mitchell,Sales,7.1,4.7,3,10,Remote,69,90132.0,18,Medium
EMP1711,,HR,8.2,,6,9,Remote,95,197891.0,27,Low
EMP2732,Andrew Lopez,Finance,8.6,6.8,5,11,Onsite,86,,28,High
EMP4048,Edwin Ortiz,Support,9.4,5.8,1,4,Remote,40,179096.0,7,High
EMP1764,Jerry Wells,IT,7.2,8.2,3,2,Remote,40,43807.0,20,High
EMP3042,Danielle Joseph,Support,5.8,5.1,9,11,Onsite,74,75900.0,15,Medium
EMP2375,Megan Brooks,HR,10.4,7.0,5,5,Remote,89,216591.0,15,Medium
EMP1373,,HR,10.7,4.0,6,11,Hybrid,53,189647.0,23,High
EMP1530,Gregory Wilson,HR,12.3,6.3,10,3,Hybrid,89,215031.0,30,Medium
EMP1881,Victor Kelly,IT,4.7,3.7,5,0,Remote,44,104074.0,21,Low
EMP2650,Victor Lee,Sales,7.0,8.8,9,1,Onsite,91,39673.0,14,Low
EMP3131,,Sales,9.7,8.0,5,5,Onsite,86,60193.0,14,Low
EMP1239,Rebecca Smith,Marketing,9.5,6.1,8,4,Onsite,71,31075.0,2,Medium
EMP2618,Colton Thomas,HR,7.2,4.9,8,0,Onsite,49,188804.0,18,Medium
EMP1683,Jason Owen,Sales,9.9,4.2,9,12,Onsite,56,168864.0,15,Low
EMP5681,Aaron Wilson,HR,7.6,5.3,6,1,Remote,96,195237.0,21,Low
EMP2002,Ryan Whitaker,Support,6.7,7.5,9,6,Hybrid,90,84816.0,4,Medium
EMP3177,Nicole Anderson,Support,6.2,3.5,4,9,Remote,61,240891.0,26,Low
EMP5239,Brandon Chen,Marketing,6.1,5.0,3,12,Remote,49,40993.0,5,Medium
EMP3536,Brian George,Operations,10.8,5.1,3,8,Remote,89,127436.0,5,High
EMP2034,Geoffrey Dunlap,Marketing,5.8,3.9,5,12,Onsite,45,,9,Low
EMP1227,,Finance,5.4,4.9,2,7,REMOTE,69,203286.0,16,High
EMP1670,Heather Floyd,IT,9.4,8.4,10,1,Onsite,78,193363.0,9,High
EMP5050,Daniel Lynch DDS,Sales,8.9,4.7,8,12,Onsite,43,107721.0,9,Medium
EMP1227,,Finance,5.4,4.9,2,7,Remote,69,203286.0,16,High
EMP2647,James Moore,,7.4,4.3,5,9,Onsite,89,216040.0,25,Low
EMP2583,Kenneth Dunn,HR,5.2,5.6,5,9,Onsite,65,180471.0,0,Low
EMP5631,Ashley Robinson,Marketing,14.4,5.0,1,4,Remote,44,153774.0,7,Low
EMP2554,Susan Wright,HR,13.7,8.1,3,10,Hybrid,93,97807.0,22,High
EMP2095,Jacqueline Joyce,Support,6.2,5.0,5,11,Hybrid,92,226453.0,21,Low
EMP3339,Jill Bush,Finance,9.9,6.0,10,0,Hybrid,96,139270.0,4,Medium
EMP3644,Edward Alvarez,Marketing,9.8,4.5,6,8,Onsite,60,228407.0,23,Medium
EMP5835,Krystal Roman,HR,4.5,3.4,3,6,Onsite,59,81099.0,1,Medium
